name,last_match_date,elo_hard,elo_clay,elo_grass,ranking,recent_wins
Matteo Berrettini,20230116,95570.1,98590,100388,14,9
Alexei Popyrin,20230116,86955.4,92774.9,92143.2,113,2
Facundo Bagnis,20230206,89634.3,89924.4,91554.7,88,0
Jo-Wilfried Tsonga,20220523,73902.8,73436.3,75300,297,0
Maximilian Marterer,20230102,82130.8,82800,82291.3,159,5
Lucas Catarina,20220411,57000,56471.4,57000,430,4
Thanasi Kokkinakis,20230116,85369.9,89886.3,90152.3,159,3
Egor Gerasimov,20220425,86233.1,86781,87400,150,3
Santiago Fa Rodriguez Taverna,20220523,79900,79271.9,79900,201,4
Hubert Hurkacz,20230116,92148.3,97316.6,98204.5,11,9
Ben Shelton,20230116,70581.2,71900,71900,89,8
Botic Van De Zandschulp,20230116,86120,92216.5,93072.5,34,8
Lloyd Harris,20230116,93550.3,93514.4,96500,186,1
Johan Nikles,20220516,68300,67842.7,68300,317,5
Andy Murray,20230116,83239.4,90277,90053.1,66,8
Carlos Alcaraz,20221031,97092.7,98024.4,96820.4,1,10
Andres Martin,20220725,26086.8,26400,26400,736,5
Borna Gojo,20230102,77417.1,77355.1,77700,144,7
Emil Ruusuvuori,20230206,85012.1,89029.8,91027.3,53,3
Aslan Karatsev,20230206,86888.3,93045.3,97483.5,95,1
Ugo Humbert,20230116,91069.7,93085.2,93459.3,106,1
Pablo Carreno Busta,20230116,92750.7,93409,96920.3,15,9
Bernabe Zapata Miralles,20230206,82382.8,82679.6,86416.9,76,1
Liam Krall,,100000,100000,100000,0,5
Zachary Svajda,20230206,57712.5,58900,58900,265,3
Denis Shapovalov,20230206,90767.4,96415.4,95969.9,27,8
Andrey Rublev,20230116,94407.8,96679.5,98604.1,6,9
